Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
JDBC Request,1,43,43,43,0.00,0.000%,23.25581,3.41,0.00,150.0
TOTAL,1,43,43,43,0.00,0.000%,23.25581,3.41,0.00,150.0
